Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
Q12244	850672	GO:0000978; GO:0000981; GO:0000982; GO:0005634; GO:0008270; GO:0045944
P40341	855114	GO:0004222; GO:0005524; GO:0005743; GO:0005745; GO:0006465; GO:0006508; GO:0008053; GO:0008237; GO:0008270; GO:0016887; GO:0034622; GO:0034982; GO:0042407; GO:0045041; GO:0097002
P47063	853426	
P0C2I4	856624	GO:0000943; GO:0003723; GO:0005737; GO:0032197
P14063	853720	GO:0003735; GO:0005762; GO:0032543
P50104	855033	GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0008270
P40052	856812	
P36057	853702	GO:0003924; GO:0005047; GO:0005525; GO:0005785; GO:0006614; GO:0030176; GO:0042802; GO:0045047
Q99LC2	67337	GO:0005654; GO:0005848; GO:0006397
P42942	853124	GO:0005525; GO:0005737; GO:0016887
P36108	853868	GO:0000815; GO:0000920; GO:0005737; GO:0005771; GO:0015031; GO:0032509; GO:0043162; GO:0045053; GO:0045324; GO:0070676; GO:1904669
Q06321	850886	GO:0005737; GO:0005975; GO:0008194; GO:0016020; GO:0016125; GO:0016126; GO:0016906; GO:0030259; GO:0032120; GO:0043231; GO:0102202; GO:0102203; GO:0102205
Q08560	854358	GO:0016021
P53312	853159	GO:0000287; GO:0004775; GO:0005524; GO:0005739; GO:0006099; GO:0006104
P53185	852847	GO:0005737
Q03180	853693	GO:0005199; GO:0005576; GO:0009277; GO:0031505
Q01476	854291	GO:0004197; GO:0004843; GO:0005737; GO:0010992; GO:0016579; GO:0043162
P39563	851294	GO:0016021
P32528	852507	GO:0000256; GO:0004039; GO:0004847; GO:0005524; GO:0006525; GO:0043419; GO:0046872
P36004	853686	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0030003; GO:0035556
P23641	853540	GO:0005315; GO:0005739; GO:0005743; GO:0005758; GO:0031305; GO:0035435
P15380	854530	GO:0005886; GO:0015175; GO:0015193; GO:0015804; GO:0015812; GO:0015824; GO:0016021
P39967	856835	GO:0004197; GO:0004843; GO:0006511; GO:0016579
F1N2M5	280993	GO:0004035
Q08438	854220	GO:0004633; GO:0004864; GO:0007049; GO:0015937; GO:0030004; GO:0042802; GO:0071513; GO:1990143
Q07379	851502	GO:0009966; GO:0016020; GO:0047372
Q05518	851949	GO:0005886; GO:0005938; GO:0006897; GO:0008360; GO:0030427; GO:0031097; GO:0051286; GO:0071852
